STATE,Total population,Total citizen population,Total registered,"Percent registered
(Total)",Margin of Error 1,"Percent registered
(Citizen)",Margin of Error 1,Total voted,"Percent voted
(Total)",Margin of Error 1,"Percent voted
(Citizen)",Margin of Error 1
OHIO,"8,642","8,468","5,601",64.8,1.5,66.1,1.5,"3,824",44.2,1.6,45.2,1.6
OKLAHOMA,"2,695","2,628","1,603",59.5,2.6,61.0,2.6,"1,061",39.4,2.6,40.4,2.6
OREGON,"2,974","2,830","2,005",67.4,2.4,70.8,2.4,"1,594",53.6,2.6,56.3,2.6
PENNSYLVANIA,"9,631","9,339","6,031",62.6,1.5,64.6,1.5,"4,104",42.6,1.5,43.9,1.5
RHODE ISLAND,812,745,510,62.8,2.6,68.4,2.6,348,42.9,2.7,46.7,2.8
SOUTH CAROLINA,"3,453","3,339","2,304",66.7,2.4,69.0,2.4,"1,700",49.2,2.5,50.9,2.6
SOUTH DAKOTA,602,587,406,67.4,2.3,69.1,2.3,322,53.5,2.4,54.9,2.5
TENNESSEE,"4,745","4,547","2,854",60.1,2.1,62.8,2.1,"1,714",36.1,2.1,37.7,2.1
TEXAS,"17,847","15,403","9,493",53.2,1.1,61.6,1.2,"5,600",31.4,1.0,36.4,1.2
UTAH,"1,929","1,800","1,095",56.8,2.3,60.8,2.4,695,36.0,2.3,38.6,2.4
VERMONT,490,481,356,72.7,2.5,74.0,2.4,265,54.0,2.8,55.0,2.8
VIRGINIA,"5,873","5,544","3,546",60.4,1.9,64.0,1.9,"2,257",38.4,1.9,40.7,2.0
WASHINGTON,"5,095","4,637","3,367",66.1,2.0,72.6,2.0,"2,692",52.8,2.1,58.1,2.2
WEST VIRGINIA,"1,420","1,418",883,62.2,2.3,62.3,2.3,581,40.9,2.3,41.0,2.3
WISCONSIN,"4,291","4,156","2,908",67.8,2.1,70.0,2.1,"2,258",52.6,2.3,54.3,2.3
WYOMING,411,402,239,58.2,2.7,59.6,2.7,190,46.1,2.7,47.2,2.7
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
