STATE,Total population,Total Citizen population,Total registered,"Percent registered
(Total)",Margin of Error 1,"Percent registered
(Citizen)",Margin of Error ,Total voted,"Percent voted
(Total)",Margin of Error ,"Percent voted
(Citizen)",Margin of Error 
SOUTH CAROLINA,"3,667","3,569","2,458",67.0,2.3,68.9,2.3,"1,514",41.3,2.4,42.4,2.5
SOUTH DAKOTA,625,618,401,64.2,2.6,64.9,2.6,273,43.7,2.7,44.1,2.7
TENNESSEE,"4,975","4,815","3,088",62.1,2.1,64.1,2.1,"1,763",35.4,2.0,36.6,2.1
TEXAS,"19,354","16,844","9,946",51.4,1.1,59.1,1.2,"5,836",30.2,1.0,34.6,1.1
UTAH,"2,026","1,924","1,101",54.3,2.2,57.2,2.3,703,34.7,2.1,36.5,2.2
VERMONT,493,482,324,65.7,2.7,67.2,2.7,205,41.6,2.8,42.5,2.8
VIRGINIA,"6,221","5,888","3,924",63.1,1.9,66.6,1.9,"2,453",39.4,1.9,41.7,2.0
WASHINGTON,"5,333","4,776","3,281",61.5,2.0,68.7,2.0,"2,390",44.8,2.1,50.0,2.2
WEST VIRGINIA,"1,449","1,440",896,61.8,2.5,62.2,2.5,484,33.4,2.5,33.6,2.5
WISCONSIN,"4,356","4,232","3,005",69.0,2.1,71.0,2.1,"2,343",53.8,2.3,55.4,2.3
WYOMING,441,427,241,54.7,2.7,56.5,2.7,172,39.1,2.6,40.3,2.7
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
